energy_loss,epoch,perceptual_loss,reconstruction_loss,step,train_loss
0.0,0,0.9315687417984009,0.608016312122345,1,1.5395851135253906
-0.0,0,0.9262784123420715,0.6181381344795227,3,1.5444165468215942
0.0,0,0.9201946258544922,0.6170505881309509,5,1.537245273590088
-0.0,0,0.9289711117744446,0.6123018264770508,7,1.5412728786468506
0.0,0,0.9209092259407043,0.6166353225708008,9,1.5375444889068604
0.0,0,0.9297241568565369,0.6148870587348938,11,1.5446112155914307
-0.0,0,0.9292104840278625,0.6194168329238892,13,1.5486273765563965
0.0,0,0.8983362317085266,0.6188744306564331,15,1.5172107219696045
-0.0,0,0.920025646686554,0.6103836297988892,17,1.530409336090088
0.0,0,0.9177753329277039,0.6050270795822144,19,1.5228023529052734
0.0,0,0.9150108695030212,0.6116535663604736,21,1.5266644954681396
-0.0,0,0.8996963500976562,0.6166068911552429,23,1.516303300857544
0.0,0,0.9100328683853149,0.5961652398109436,25,1.5061981678009033
-0.0,0,0.9166141748428345,0.5988871455192566,27,1.5155012607574463
0.0,0,0.905931293964386,0.6069883704185486,29,1.5129196643829346
-0.0,0,0.9184656143188477,0.5896386504173279,31,1.5081043243408203
0.0,0,0.9275009036064148,0.5954152345657349,33,1.5229160785675049
0.0,0,0.9048537611961365,0.6002625823020935,35,1.50511634349823
-0.0,0,0.8983504176139832,0.604022741317749,37,1.502373218536377
0.0,0,0.9189009070396423,0.5861729383468628,39,1.5050737857818604
-0.0,0,0.897116482257843,0.5934836268424988,41,1.4906001091003418
-0.0,0,0.8917072415351868,0.5892640352249146,43,1.480971336364746
-0.0,0,0.9058000445365906,0.5778204202651978,45,1.4836204051971436
0.0,0,0.908530056476593,0.5846395492553711,47,1.4931695461273193
0.0,0,0.9115455746650696,0.5764555335044861,49,1.4880011081695557
-0.0,0,0.9103534817695618,0.5866241455078125,51,1.4969775676727295
-0.0,0,0.8898829817771912,0.5716214179992676,53,1.4615044593811035
0.0,0,0.8953003287315369,0.5647746324539185,55,1.4600749015808105
-0.0,0,0.8981672525405884,0.576612114906311,57,1.4747793674468994
-0.0,0,0.8866735696792603,0.5469195246696472,59,1.4335930347442627
-0.0,0,0.8713388442993164,0.569705605506897,61,1.4410444498062134
0.0,0,0.888283908367157,0.5605083107948303,63,1.4487922191619873
